product_name,price,seller,location,number_sold,rating,link
"         ANTAM LM EMAS 1 Gram, LOGAM MULIA TERBARU       ",1095000, de yellow official store , Kota Jakarta Utara ,37000,4.9,https://www.blibli.com/p/antam-lm-emas-1-gram-logam-mulia-terbaru/ps--INN-70002-00010?ds=INN-70002-00010-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1r/Jrkeq80wmtSjRVy7wUGAmvb+YwHTpZXfYXloIWnbbssFoHe0ux6oJFT/XRXpCLib/SBy6IB1M3IaqMuoteMxUHRnX0XlLc4mbrFU85AX5uwU8CHZPPj+WC4axMhQ3Xpp1dxJur/tJaCG+yveKP76XzLmL0WqgxSWj5XD6vdVl3BXnXHUbtgmEgjAqnzoKVZvlUCIBFZLamNvQFS17QfcBRRGmWwA34WlEMAXzCc1Mts1aPc26i54fwHSA3DebVAi3W0Loslx+5XmC4HxT8jM/RD55r8MN6K/oKaplDyYP&cnc=false&pickupPointCode=PP-3139418&pid=INN-70002-00010
         Logam Mulia Emas Antam 1 Gram [Cetakan Terbaru ] - CertiCard       ,1115420, victorindo official store , Kota Jakarta Pusat ,2,5.0,https://www.blibli.com/p/logam-mulia-emas-antam-1-gram-cetakan-terbaru-certicard/ps--VIO-38130-02312?ds=VIO-38130-02312-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1gVM1r7pUcMHMSa2GcVlGJ/TgQtV3gp0DXpr54T9xB77V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8lOi7vIkIv8Fh+lrMw8Nu78vJqIi2XqjxFa1WXD2Hq7nZXvezKoIWyf3UjkG7j3vp91QuxDqwO67+QwM2jkobJGd4a7g8Xqgk7xLxF4J782ncN+It71VIKGbdPxl3qM9JApWACp2nkAYnR+jhZfljWu/rRmKE4DOgXuT8F/HwShLxw891RFj/i1BBRpr6Fvh+&cnc=false&pickupPointCode=PP-3010308&pid=VIO-38130-02312
         BliGold Antam Logam Mulia [1 g] CertiCard - BARU       ,1093000, bligold official store , Kota Jakarta Timur ,383,4.9,https://www.blibli.com/p/bligold-antam-logam-mulia-1-g-certicard-baru/ps--BLD-60049-00111?ds=BLD-60049-00111-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1owsCawvTcgKoyAeaw3c2ijfhG59RS5l40lyXQfGvzEilsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00111
         Hartadinata X Antam Logam Mulia Keping Emas [1 g/ 999.9‰ Fine Gold Certificate]       ,1060000, my jewel , Kota Jakarta Pusat ,178,4.9,https://www.blibli.com/p/hartadinata-x-antam-logam-mulia-keping-emas-1-g-999-9-fine-gold-certificate/ps--MYJ-39801-00611?ds=MYJ-39801-00611-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1i2ikWrmFtAk6tugbRzQ1ZSCkcP5j3950NUSr/+76o44lsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3034953&pid=MYJ-39801-00611
         SURABAYA - BliGold Antam Logam Mulia [1 g] CertiCard 2023       ,1093000, bligold official store , Kab. Sidoarjo ,63,5.0,https://www.blibli.com/p/surabaya-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00136?ds=BLD-60049-00136-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1hKWmG1lUDd9LlGO1ocQIF5eSNFbQ4izOULR1oMlrx8LVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00136
"         BliGold Antam Logam Mulia [0,5 g] CertiCard - BARU       ",600000, bligold official store , Kota Jakarta Timur ,107,5.0,https://www.blibli.com/p/bligold-antam-logam-mulia-0-5-g-certicard-baru/ps--BLD-60049-00110?ds=BLD-60049-00110-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1o+HrefneIfgHWUJp8ktNoAXVMGqaEcTyb0h8zpSRG7JVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02wyKP/jGTAGNsd2cidGu75o=&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00110
         Emas Antam Logam Mulia [1 g] Gold       ,1116300, indogold , Kota Tangerang ,718,4.8,https://www.blibli.com/p/emas-antam-logam-mulia-1-g-gold/ps--AND-31006-00002?ds=AND-31006-00002-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1n1z92mV16wm98SzrfqQdMyU2EYQ4jIw6OVLFXNebNmrlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3121132&pid=AND-31006-00002
         Logam Mulia Emas Antam 1 Gram Gift Series Thank You       ,1294000, goldenmulia official store , Kab. Sleman ,0,5.0,https://www.blibli.com/p/logam-mulia-emas-antam-1-gram-gift-series-thank-you/ps--GOE-70036-00016?ds=GOE-70036-00016-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZHxL9FhkBDHV5R/SSeXUB/FV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lrz9EPnmvww3or+gpqmUPJg8=&cnc=false&pickupPointCode=PP-3225670&pid=GOE-70036-00016
         Emas Antam 1 Gram Logam Mulia LM Antam 1 gr 1g Certicard Terbaru       ,1123000, goldenmulia official store , Kab. Sleman ,0,5.0,https://www.blibli.com/p/emas-antam-1-gram-logam-mulia-lm-antam-1-gr-1g-certicard-terbaru/ps--GOE-70036-00002?ds=GOE-70036-00002-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZEe9b6xDK2WSeu/MR9i3HH8V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3225670&pid=GOE-70036-00002
         Antam Indonesia X Hartadinata 1 Gram       ,1067000, stargoldmkb official store , Kota Jakarta Timur ,208,4.9,https://www.blibli.com/p/antam-indonesia-x-hartadinata-1-gram/ps--STB-60034-00117?ds=STB-60034-00117-00001&source=SEARCH&sid=e1c1ac416684a635&metaData=Sa0jw+XIAzQDKlCuUgCF1lsT0iYY+KMvomLn/9iniHcVhRWCcwWGS46ka0FNIeqNlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3114321&pid=STB-60034-00117
