product_name,price,seller,location,number_sold,rating,link
         Logam Mulia Emas Antam 1 Gram [Cetakan Terbaru ] - CertiCard       , Rp1.115.420 , victorindo official store , Kota Jakarta Pusat , Terjual 2 ,"5,0",https://www.blibli.com/p/logam-mulia-emas-antam-1-gram-cetakan-terbaru-certicard/ps--VIO-38130-02312?ds=VIO-38130-02312-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1gVM1r7pUcMHMSa2GcVlGJ/TgQtV3gp0DXpr54T9xB77V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8lOi7vIkIv8Fh+lrMw8Nu78vJqIi2XqjxFa1WXD2Hq7nZXvezKoIWyf3UjkG7j3vp91QuxDqwO67+QwM2jkobJGd4a7g8Xqgk7xLxF4J782ncN+It71VIKGbdPxl3qM9JApWACp2nkAYnR+jhZfljWu/rRmKE4DOgXuT8F/HwShLxw891RFj/i1BBRpr6Fvh+&cnc=false&pickupPointCode=PP-3010308&pid=VIO-38130-02312&tag=trending
         FG LOGAM MULIA EMAS ANTAM CERTICARD NEW PRESS MODEL 1 GRAM       , Rp1.164.000 ,,,,"4,9",https://www.blibli.com/p/fg-logam-mulia-emas-antam-certicard-new-press-model-1-gram/ps--KIM-70008-00007?ds=KIM-70008-00007-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZEtzlpIIPKcCiV8QX5q/aIsV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3153724&pid=KIM-70008-00007&tag=trending
         Emas Antam 1 gram bersertifikat       , Rp1.050.000 ,,,,,https://www.blibli.com/p/emas-antam-1-gram-bersertifikat/ps--MAK-70288-00003?ds=MAK-70288-00003-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZE9h4DE1v9tLO17IMSMCbBSV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lrz9EPnmvww3or+gpqmUPJg8=&cnc=false&pickupPointCode=PP-3482670&pid=MAK-70288-00003&tag=trending
         Antam Logam Mulia 1 Gram CertiEye 2023       , Rp1.104.200 , stargoldmkb official store , Kota Jakarta Timur , Terjual 542 ,"4,9",https://www.blibli.com/p/antam-logam-mulia-1-gram-certieye-2023/ps--STB-60034-00137?ds=STB-60034-00137-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1llNpQ8npxEHwJDZxITHuLwlYpoxMKJ1cPAlbhzNksRHlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3114321&pid=STB-60034-00137
"         ANTAM LM EMAS 1 Gram, LOGAM MULIA TERBARU       ", Rp1.100.000 , de yellow official store , Kota Jakarta Utara ," Terjual 3,7 rb ","4,9",https://www.blibli.com/p/antam-lm-emas-1-gram-logam-mulia-terbaru/ps--INN-70002-00010?ds=INN-70002-00010-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1r0sB/OQzZUfdGa1Ir9wUHs86r2yJjgRUwAYkRUuwbUassFoHe0ux6oJFT/XRXpCLib/SBy6IB1M3IaqMuoteMxUHRnX0XlLc4mbrFU85AX5uwU8CHZPPj+WC4axMhQ3Xpp1dxJur/tJaCG+yveKP76XzLmL0WqgxSWj5XD6vdVl3BXnXHUbtgmEgjAqnzoKVZvlUCIBFZLamNvQFS17QfcBRRGmWwA34WlEMAXzCc1Mts1aPc26i54fwHSA3DebVAi3W0Loslx+5XmC4HxT8jM/RD55r8MN6K/oKaplDyYP&cnc=false&pickupPointCode=PP-3139418&pid=INN-70002-00010
         Logam Mulia 1 gr Antam - Galeri 24       , Rp1.099.000 ,,, Terjual 23 ,"4,8",https://www.blibli.com/p/logam-mulia-1-gr-antam-galeri-24/ps--GA2-70015-00074?ds=GA2-70015-00074-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1vxne5HTVK2oSErbEkAVUaB9j8/kroi3XKSCncxx60/CVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3340915&pid=GA2-70015-00074
         Antam Indonesia X Hartadinata Bullion Protect 10 Gram       , Rp10.161.000 , stargoldmkb official store , Kota Jakarta Timur , Terjual 96 ,"5,0",https://www.blibli.com/p/antam-indonesia-x-hartadinata-bullion-protect-10-gram/ps--STB-60034-00121?ds=STB-60034-00121-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1hRe2i/8KCpTqfpTm8yoUNA9Qw2Y/PJXnW1oHC9hg/qTlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3114321&pid=STB-60034-00121
         Emas Antam 1 gram 2023       , Rp1.104.450 ,,, Terjual 26 ,"5,0",https://www.blibli.com/p/emas-antam-1-gram-2023/ps--AUA-70053-00002?ds=AUA-70053-00002-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1k+QZi5M2LSKgeke3pOtuKI8/snG9Zk2XXsJJ61gdyxHVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3406533&pid=AUA-70053-00002
         Hartadinata X Antam Logam Mulia Keping Emas [1 g/ 999.9‰ Fine Gold Certificate]       , Rp1.071.000 , my jewel , Kota Jakarta Pusat , Terjual 185 ,"4,9",https://www.blibli.com/p/hartadinata-x-antam-logam-mulia-keping-emas-1-g-999-9-fine-gold-certificate/ps--MYJ-39801-00611?ds=MYJ-39801-00611-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1ld5F4C3vhzXSPWDcc74WLdWUnSCG2aFKw4yCMcjRahelsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3034953&pid=MYJ-39801-00611
         BANDUNG - BliGold Antam Logam Mulia [1 g] CertiCard 2023       , Rp1.095.000 , bligold official store , Kota Bandung , Terjual 78 ,"4,9",https://www.blibli.com/p/bandung-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00103?ds=BLD-60049-00103-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1vnqjilQyerDgvO6NBMUYKXtKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00103
