product_name,price,seller,location,number_sold,rating,link
"ANTAM LM EMAS 1 Gram, LOGAM MULIA TERBARU",1095000, de yellow official store , Kota Jakarta Utara ,37000,4.9,https://www.blibli.com/p/antam-lm-emas-1-gram-logam-mulia-terbaru/ps--INN-70002-00010?ds=INN-70002-00010-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1opfqRv+aZ8Rk+wgmDJyNvMmvb+YwHTpZXfYXloIWnbbssFoHe0ux6oJFT/XRXpCLib/SBy6IB1M3IaqMuoteMxUHRnX0XlLc4mbrFU85AX5uwU8CHZPPj+WC4axMhQ3Xpp1dxJur/tJaCG+yveKP76XzLmL0WqgxSWj5XD6vdVl3BXnXHUbtgmEgjAqnzoKVZvlUCIBFZLamNvQFS17QfcBRRGmWwA34WlEMAXzCc1Mts1aPc26i54fwHSA3DebVAi3W0Loslx+5XmC4HxT8jM/RD55r8MN6K/oKaplDyYP&cnc=false&pickupPointCode=PP-3139418&pid=INN-70002-00010
Logam Mulia Emas Antam 1 Gram [Cetakan Terbaru ] - CertiCard,1115420, victorindo official store , Kota Jakarta Pusat ,2,5.0,https://www.blibli.com/p/logam-mulia-emas-antam-1-gram-cetakan-terbaru-certicard/ps--VIO-38130-02312?ds=VIO-38130-02312-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1gVM1r7pUcMHMSa2GcVlGJ/TgQtV3gp0DXpr54T9xB77V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8lOi7vIkIv8Fh+lrMw8Nu78vJqIi2XqjxFa1WXD2Hq7nZXvezKoIWyf3UjkG7j3vp91QuxDqwO67+QwM2jkobJGd4a7g8Xqgk7xLxF4J782ncN+It71VIKGbdPxl3qM9JApWACp2nkAYnR+jhZfljWu/rRmKE4DOgXuT8F/HwShLxw891RFj/i1BBRpr6Fvh+&cnc=false&pickupPointCode=PP-3010308&pid=VIO-38130-02312
BANDUNG - BliGold Antam Logam Mulia [1 g] CertiCard 2023,1095000, bligold official store , Kota Bandung ,77,4.9,https://www.blibli.com/p/bandung-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00103?ds=BLD-60049-00103-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1gzBF6D6gFfN6KfU/yKUTvvtKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00103
Hartadinata X Antam Logam Mulia Keping Emas [1 g/ 999.9‰ Fine Gold Certificate],1060000, my jewel , Kota Jakarta Pusat ,181,4.9,https://www.blibli.com/p/hartadinata-x-antam-logam-mulia-keping-emas-1-g-999-9-fine-gold-certificate/ps--MYJ-39801-00611?ds=MYJ-39801-00611-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1jXWPu6SMJLf87L/7ARCFc6CkcP5j3950NUSr/+76o44lsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3034953&pid=MYJ-39801-00611
SEMARANG - BliGold Antam Logam Mulia [1 g] CertiCard 2023,1095000, bligold official store , Kota Semarang ,56,5.0,https://www.blibli.com/p/semarang-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00152?ds=BLD-60049-00152-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1p+xgq8f3q4sncH4sGf4w8ntKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00152
BliGold Antam Logam Mulia [1 g] CertiCard,1095000, bligold official store , Kota Jakarta Timur ,23000,4.9,https://www.blibli.com/p/bligold-antam-logam-mulia-1-g-certicard/ps--BLD-60049-00002?ds=BLD-60049-00002-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1jnjenVaH1CDGLn4JuxiMXsmvb+YwHTpZXfYXloIWnbbssFoHe0ux6oJFT/XRXpCLib/SBy6IB1M3IaqMuoteMxUHRnX0XlLc4mbrFU85AX5uwU8CHZPPj+WC4axMhQ3Xpp1dxJur/tJaCG+yveKP76XzLmL0WqgxSWj5XD6vdVl3BXnXHUbtgmEgjAqnzoKVZvlUCIBFZLamNvQFS17QfcBRRGmWwA34WlEMAXzCc1Mts1aPc26i54fwHSA3DebVAi3W0Loslx+5XmC4HxT8jM/RD55r8MN6K/oKaplDyYP&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00002
SURABAYA - BliGold Antam Logam Mulia [1 g] CertiCard 2023,1095000, bligold official store , Kab. Sidoarjo ,64,5.0,https://www.blibli.com/p/surabaya-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00136?ds=BLD-60049-00136-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1hwezCcJVzXD3aOHETuFKVbtKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00136
Surabaya - Antam LM Vacum Press 1 g,1096000, stargoldmkb official store , Kota Surabaya ,337,4.9,https://www.blibli.com/p/surabaya-antam-lm-vacum-press-1-g/ps--STB-60034-00054?ds=STB-60034-00054-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1jrqpuIoW64JfaWKqbTfQXpeT8ks33pblJXkTfVG9gehlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3478933&pid=STB-60034-00054
Emas Antam Logam Mulia [1 g] Gold,1117300, indogold , Kota Tangerang ,718,4.8,https://www.blibli.com/p/emas-antam-logam-mulia-1-g-gold/ps--AND-31006-00002?ds=AND-31006-00002-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1n1z92mV16wm98SzrfqQdMyPA+MTOcDmlANzhAs8y+08lsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3121132&pid=AND-31006-00002
Emas Antam 1 Gram Logam Mulia LM Antam 1 gr 1g Certicard Terbaru,1124000, goldenmulia official store , Kab. Sleman ,0,5.0,https://www.blibli.com/p/emas-antam-1-gram-logam-mulia-lm-antam-1-gr-1g-certicard-terbaru/ps--GOE-70036-00002?ds=GOE-70036-00002-00001&source=SEARCH&sid=dd088ef6773c8889&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZEHhNoKXXAj4SEEUdukWAECV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3225670&pid=GOE-70036-00002
