,datetime,price,year,month,day
0,2010-01-04 09:07:00,408000,2010,1,4
1,2010-01-05 09:28:00,410000,2010,1,5
2,2010-01-06 07:01:00,410000,2010,1,6
3,2010-01-07 09:45:00,412000,2010,1,7
4,2010-01-08 09:37:00,410000,2010,1,8
5,2010-01-11 08:30:00,413000,2010,1,11
6,2010-01-12 08:08:00,410000,2010,1,12
7,2010-01-13 07:00:00,409000,2010,1,13
8,2010-01-14 07:10:00,410000,2010,1,14
9,2010-01-15 08:30:00,408000,2010,1,15
10,2010-01-18 08:39:00,406000,2010,1,18
11,2010-01-19 07:41:00,410000,2010,1,19
12,2010-01-20 09:04:00,410000,2010,1,20
13,2010-01-21 07:23:00,408000,2010,1,21
14,2010-01-22 07:07:00,404000,2010,1,22
15,2010-01-25 08:00:00,404000,2010,1,25
16,2010-01-26 09:04:00,404000,2010,1,26
17,2010-01-27 07:08:00,404000,2010,1,27
18,2010-01-28 08:38:00,403000,2010,1,28
19,2010-01-29 07:13:00,403000,2010,1,29
20,2010-02-01 08:57:00,403000,2010,2,1
21,2010-02-02 08:19:00,405000,2010,2,2
22,2010-02-03 07:45:00,406000,2010,2,3
23,2010-02-04 08:44:00,404000,2010,2,4
24,2010-02-05 08:31:00,401000,2010,2,5
25,2010-02-08 08:54:00,400000,2010,2,8
26,2010-02-09 07:55:00,401000,2010,2,9
27,2010-02-10 07:04:00,402000,2010,2,10
28,2010-02-11 07:26:00,401000,2010,2,11
29,2010-02-12 08:50:00,403000,2010,2,12
30,2010-02-15 09:12:00,402000,2010,2,15
31,2010-02-16 08:36:00,403000,2010,2,16
32,2010-02-17 07:20:00,406000,2010,2,17
33,2010-02-18 09:13:00,401000,2010,2,18
34,2010-02-19 07:12:00,401000,2010,2,19
35,2010-02-22 08:19:00,408000,2010,2,22
36,2010-02-23 09:26:00,402000,2010,2,23
37,2010-02-24 07:07:00,401000,2010,2,24
38,2010-02-25 09:11:00,400000,2010,2,25
39,2010-03-01 07:09:00,404000,2010,3,1
40,2010-03-02 09:20:00,401000,2010,3,2
41,2010-03-03 07:56:00,405000,2010,3,3
42,2010-03-04 08:38:00,406000,2010,3,4
43,2010-03-05 07:15:00,403000,2010,3,5
44,2010-03-08 07:04:00,404000,2010,3,8
45,2010-03-09 09:04:00,400000,2010,3,9
46,2010-03-10 08:52:00,399000,2010,3,10
47,2010-03-11 07:10:00,398000,2010,3,11
48,2010-03-12 07:09:00,398000,2010,3,12
49,2010-03-15 07:51:00,397000,2010,3,15
50,2010-03-17 08:36:00,400000,2010,3,17
51,2010-03-18 08:55:00,398000,2010,3,18
52,2010-03-22 08:40:00,396000,2010,3,22
53,2010-03-23 08:20:00,395000,2010,3,23
54,2010-03-24 08:27:00,395000,2010,3,24
55,2010-03-25 08:54:00,394000,2010,3,25
56,2010-03-26 09:20:00,395000,2010,3,26
57,2010-03-29 08:11:00,396000,2010,3,29
58,2010-03-30 07:06:00,396000,2010,3,30
59,2010-03-31 09:12:00,395000,2010,3,31
60,2010-04-01 08:38:00,397000,2010,4,1
61,2010-04-05 09:26:00,399000,2010,4,5
62,2010-04-06 07:36:00,399000,2010,4,6
63,2010-04-06 09:23:00,399000,2010,4,6
64,2010-04-07 09:28:00,399000,2010,4,7
65,2010-04-08 07:07:00,401000,2010,4,8
66,2010-04-09 09:20:00,403000,2010,4,9
67,2010-04-12 07:34:00,408000,2010,4,12
